t,b,g,r,helper,counter
89.92316666666666,112,173,209,"209,173,112",1
90.00658333333332,112,173,209,"209,173,112",2
90.08999999999999,112,173,209,"209,173,112",3
90.17341666666665,112,173,209,"209,173,112",4
90.25683333333333,112,173,209,"209,173,112",5
90.34025,112,173,209,"209,173,112",6
90.42366666666666,83,128,164,"164,128,83",1
90.50708333333333,45,59,62,"62,59,45",1
90.59049999999999,83,128,164,"164,128,83",1
90.67391666666666,66,99,129,"129,99,66",1
90.75733333333332,44,66,85,"85,66,44",1
90.84075,44,66,85,"85,66,44",2
90.92416666666666,44,66,85,"85,66,44",3
91.00758333333333,45,59,62,"62,59,45",1
91.091,45,59,62,"62,59,45",2
91.17441666666666,45,59,62,"62,59,45",3
91.25783333333332,45,59,62,"62,59,45",4
91.34124999999999,45,59,62,"62,59,45",5
91.42466666666667,45,59,62,"62,59,45",6
91.50808333333333,45,59,62,"62,59,45",7
91.5915,45,59,62,"62,59,45",8
91.67491666666666,217,241,208,"208,241,217",1
91.75833333333333,217,241,208,"208,241,217",2
91.84174999999999,217,241,208,"208,241,217",3
91.92516666666666,217,241,208,"208,241,217",4
92.00858333333332,112,173,209,"209,173,112",1
92.092,83,128,164,"164,128,83",1
92.17541666666666,21,24,30,"30,24,21",1
92.25883333333333,21,24,30,"30,24,21",2
92.34224999999999,21,24,30,"30,24,21",3
92.42566666666666,172,212,210,"210,212,172",1
92.50908333333332,83,128,164,"164,128,83",1
92.59249999999999,66,99,129,"129,99,66",1
92.67591666666667,54,82,115,"115,82,54",1
92.75933333333333,54,82,115,"115,82,54",2
92.84275,44,66,85,"85,66,44",1
92.92616666666666,44,66,85,"85,66,44",2
93.00958333333332,13,13,11,"11,13,13",1
93.09299999999999,13,13,11,"11,13,13",2
93.17641666666665,13,13,11,"11,13,13",3
93.25983333333333,13,13,11,"11,13,13",4
93.34325,13,13,11,"11,13,13",5
93.42666666666666,13,13,11,"11,13,13",6
93.51008333333333,13,13,11,"11,13,13",7
93.59349999999999,13,13,11,"11,13,13",8
93.67691666666666,13,13,11,"11,13,13",9
93.76033333333332,13,13,11,"11,13,13",10
93.84375,13,13,11,"11,13,13",11
93.92716666666666,13,13,11,"11,13,13",12
94.01058333333333,21,24,30,"30,24,21",1
94.094,21,24,30,"30,24,21",2
94.17741666666666,21,24,30,"30,24,21",3
94.26083333333332,54,82,115,"115,82,54",1
94.34424999999999,54,82,115,"115,82,54",2
94.42766666666665,66,99,129,"129,99,66",1
94.51108333333333,66,99,129,"129,99,66",2
94.5945,66,99,129,"129,99,66",3
94.67791666666666,66,99,129,"129,99,66",4
94.76133333333333,66,99,129,"129,99,66",5
94.84474999999999,66,99,129,"129,99,66",6
94.92816666666666,27,38,47,"47,38,27",1
95.01158333333332,66,99,129,"129,99,66",1
95.095,66,99,129,"129,99,66",2
95.17841666666666,54,82,115,"115,82,54",1
95.26183333333333,54,82,115,"115,82,54",2
95.34525,27,38,47,"47,38,27",1
95.42866666666666,27,38,47,"47,38,27",2
95.51208333333332,27,38,47,"47,38,27",3
95.59549999999999,27,38,47,"47,38,27",4
95.67891666666667,27,38,47,"47,38,27",5
95.76233333333333,21,24,30,"30,24,21",1
95.84575,21,24,30,"30,24,21",2
95.92916666666666,21,24,30,"30,24,21",3
96.01258333333332,21,24,30,"30,24,21",4
96.09599999999999,21,24,30,"30,24,21",5
96.17941666666665,21,24,30,"30,24,21",6
96.26283333333333,21,24,30,"30,24,21",7
96.34625,21,24,30,"30,24,21",8
96.42966666666666,21,24,30,"30,24,21",9
96.51308333333333,21,24,30,"30,24,21",10
96.59649999999999,13,13,11,"11,13,13",1
96.67991666666666,13,13,11,"11,13,13",2
96.76333333333332,13,13,11,"11,13,13",3
96.84675,0,0,0,"0,0,0",1
96.93016666666666,0,0,0,"0,0,0",2
97.01358333333333,0,0,0,"0,0,0",3
97.097,0,0,0,"0,0,0",4
97.18041666666666,0,0,0,"0,0,0",5
97.26383333333332,13,13,11,"11,13,13",1
97.34724999999999,13,13,11,"11,13,13",2
97.43066666666665,71,77,63,"63,77,71",1
97.51408333333333,94,104,85,"85,104,94",1
97.5975,94,104,85,"85,104,94",2
97.68091666666666,138,153,123,"123,153,138",1
97.76433333333333,138,153,123,"123,153,138",2
